Firm.Name,Sum_Assts_Wted,Sum_Assets,Fee_Wted
1290 Funds,216615655.41522726,335207732.5,0.6462131818967728
13D Activist Fund,477583260.7291667,373552487.3333333,1.2784903779880423
1919 Funds,564158759.2616667,501028733.5,1.1260008090168079
360 Funds,63139423.512499996,38292088.833333336,1.6488895078906483
361 Funds,2310482593.36,1107849502.5833333,2.0855563756379483
7Twelve,91071365.16666667,68896059.41666667,1.3218660970998228
AAAMCO,12513960.389999999,116113228.58333333,0.10777376998882476
AAM,609762298.2033333,906256754.6833334,0.6728361416918741
AAMA,314720138.6314286,447233270.5,0.703704664636368
Aasgard,38995324.166666664,46146361.333333336,0.8450357306611476
Abbey Capital,1482155124.8975,944449270.3888888,1.5693327014665426
Aberdeen,16094885465.090002,12893361342.5,1.248307949924347
ABR,875360.9166666666,4120987.666666667,0.21241532066382465
Absolute Capital,72564317.3375,31342754.083333332,2.3151863791091176
Absolute Strategies,772771355.1441666,247597013.33333334,3.12108512433389
Acadian Funds,1525465433.225,1295383967.1666667,1.1776164225357673
ACM,101248692.35,85801073.25,1.1800399285797978
ACR Alpine Capital Research,112246135.94000001,127718390.5,0.8788564865292443
Acuitas Investments,153725884.13333333,101473631.91666667,1.5149342861757213
Adam Asset Funds,24850326.65416667,32053577.416666668,0.7752746700043978
Adirondack Funds,325171304.00333333,243176417.33333334,1.3371827234283402
Adler,0,1297092.6,0
AdvisorOne Funds,1535298492.4333334,1493583524.8333335,1.0279294508183965
Advisors Preferred,674135146.3891666,421305286.6666667,1.6001108168446432
Aegis,182511617.125,127595208.33333333,1.4303955415645506
AGF Investments,603340,752481.25,0.8018007093199997
AIG,18981623716.237778,16072895897.916666,1.1809709859875428
Akre,7456610281.243334,7661305371.916666,0.9732819564373894
Al Frank,122819207.50500001,85500358.41666667,1.4364759374044769
Alger,18127310573.5175,17391694903.02778,1.0422969511937366
All Terrain Funds,50623593.79333334,33041234.75,1.532133837502345
AllianceBernstein,59240131107.45857,94467148463.33333,0.6270976955597655
Allianz Global Investors,21257254879.300377,18918690787.552273,1.1236113068292646
Allied Asset,113835371.80000001,108460617.25,1.0495548954659855
AlphaCentric Funds,1499018097.6066668,2199622030.3333335,0.6814889453437161
AlphaCore,26630497.206,19433049.5,1.3703715006746626
AlphaMark,35501468.875,25977137.666666668,1.3666428276489737
ALPS,1368768986.78,1411696731.047619,0.9695913836707956
Alta Capital,0,20266668,0
Altair,244990954.31,453238859.5277778,0.5405338689741919
Altegris,1497950191.44,984474278.3333334,1.5215737215358802
Amana,3033610545.7358336,3209286380.3333335,0.9452601563780503
AmericaFirst Funds,176471434.60416666,46086443.083333336,3.8291398250255866
American Beacon,26243346629.88222,31595874423.941666,0.8305940920564114
American Century Investments,93765063321.69083,128971292277.25,0.7270227479780831
American Funds,941119010086.4908,1703973049936.6365,0.5523086237317468
American Growth,99022788.27333334,17806054,5.561186564599509
American Independence,88704733.155,145532636,0.6095178070917372
American Money Management,22371104.015,9115775.833333334,2.454108616097862
American Trust,35857261.82083333,25467262.75,1.4079747074833684
AMF,78219235.41499999,42945361.666666664,1.8213663217490659
AMG Funds,32855010310.582367,33561885979.166668,0.9789381422419738
Anchor,682039641.5591667,214842003.83333334,3.1746103154403102
Ancora,169915840.78333333,167267670.91666666,1.0158319288608137
Anfield,146652165.19583333,199520724.75,0.7350222157602369
Angel Oak,6484661122.2875,7233969610.611111,0.8964180762904379
Appleseed Fund,189602703.98333332,178362411.5,1.063019401839234
Applied Finance Advisors,216768353.36257577,235295327.41666666,0.9212607651095304
AQR Funds,55408180785.74917,35211423689.666664,1.5735853589472883
Aquila,3468875469.7833333,3317605909.25,1.0455960004506775
Arabesque Asset Management,13368667.6625,34128600.75,0.3917144966015051
Arbitrage Fund,3605359077.2841663,2003328561.9166667,1.7996843582336646
Archer,80819136.03583333,77883997,1.0376860349865369
Argent,0,120841470.25,0
Ariel Investments,4520529850.009167,4637455740.25,0.9747866293955121
Aristotle,109809127.41555557,247635755.5,0.44343001758304473
Arrow Funds,911219554.6408334,419875694.9166667,2.1702126740669865
Artisan,54636743231.8158,52405830081.083336,1.0425699420709633
Ascendant,68309638.22916666,36725056.083333336,1.8600281528274403
Ashmore,1793520463.5435238,2387099490.1666665,0.751338798793971
Aspiration Funds,14280712.791666666,69962276.91666667,0.2041201833479016
Aspiriant,774398556.8216667,3698384527.75,0.20938832915050898
Astor,310846238.07916665,274801114.4166667,1.131168040344431
ATAC Fund,158158959.2916667,128320059.36666667,1.2325349604128315
Athena Fund,13586659.8125,10543759.25,1.2885973105370363
Auer,64512355.0225,29582963.666666668,2.18072657457207
Auxier Funds,234013988.8241667,245019670.16666666,0.9550824579307705
Ave Maria Mutual Funds,1709414862.1341667,2139484052.5833333,0.7989846243864838
AXS,823816780.1181666,541497653.5,1.5213672206950137
Azzad Fund,203322478.76000002,195132002.08333334,1.0419740308571674
Baillie Gifford Funds,4833045445.891917,8277576719.25,0.5838720207391592
Baird,13267451090.736666,46019925072.25,0.2882979724523049
Balter,249790811.71607143,147981112.41666666,1.6879911742570348
Barings Funds,541559386.4975001,1040858803.1666667,0.5203005295721972
Baron Capital Group,25632948382.58917,23971173840.25,1.0693238701372598
Barrett,104738968.11416665,88883766,1.1783813043448974
Baywood,5223950.0975,4486771.083333333,1.1643005628045098
BBH,2821352361.5658336,8388315655.75,0.33634313220340734
Beacon Investment Advisory,578018057.4,480714470.3333333,1.2024145164575453
"Beck, Mack & Oliver",38663064.75,39416925.5,0.980874694298519
Becker,295572531.3666667,405515647.1666667,0.7288807064088122
Beech Hill,2101722.875,1811757.4166666667,1.1600465137693885
BeeHive,125956046.195,121424343.08333333,1.0373212075650808
Belmont Capital Group,0,6856146.25,0
Berkshire,126100669.33749999,147322268.5,0.8559511784703477
Bernzott Capital Advisors,80094894.17083333,75465780.16666667,1.061340570440579
BFS,34402841.041666664,32970718.333333332,1.0434361997774693
Biondo Investment Advisor,38800946.875,41191234.416666664,0.941970966019423
Bishop Street,125204617.43833333,175671976.66666666,0.7127182138782788
BlackRock,180409403814.7508,234129648227.26666,0.7705534313178043
Blackstone,15256308041.25,6208948880.75,2.457148276506206
Blue Chip Investor Fund,36410570.583333336,39107645.5,0.9310345871712817
Blue Current Funds,56435074.575,63196678.333333336,0.8930069754193568
BMO Funds,3874138605.2040477,7580582270.416667,0.5110608218478059
BNY Mellon,37550776702.9675,46733084355.13637,0.8035159078653953
BNY Mellon Funds,12385297429.975,16856015239.333334,0.7347701846563379
Bogle,105189907.70833334,96284466.91666667,1.0924909393679694
Boston Common,241850609.4166667,275824116.3333333,0.8768290917839481
Boston Partners,21985902257.505833,11856710439.083334,1.8543003449787887
Boston Trust Walden Funds,1368226872.2133334,1525653867.9166667,0.8968134260241444
Boyar Value Fund,45050853.45833333,26721792.083333332,1.685921861746392
Boyd Watterson,48247486.04555556,161036280.08333334,0.29960631244455205
Bramshill Investments,211759001.025,227958665.33333334,0.9289359573822503
Brandes,4590030155.95,3901255054.9166665,1.1765521841914142
Bretton Fund,40126502.5,30697942.666666668,1.3071397955137667
Bridge Builder,10351916980.67,59550516676.916664,0.17383420931228752
Bridges,106600047.3125,161065377.16666666,0.6618433408080794
Bridgeway,1521564163.1608334,3005246872.8333335,0.5063025526839029
Bright Rock,265713726.02333334,295787269.9166667,0.8983271190075013
Brookfield Investment Funds,6378641862.501667,4782399900.969697,1.3337742544717581
Brown Advisory Funds,6962920641.011666,8972076904.85606,0.7760656439807203
Brown Capital Management,4504693184.8525,5040783759.083333,0.8936493609223338
Bruce,385182118.39166665,529879128.75,0.7269244955926502
BTS,0,20,0
Buffalo,4106501198.6591663,4256119928.083333,0.9648462139337448
Calamos,13503510572.233334,12621781959.5,1.0698576964459194
