Firm.Name,FeeChange,count,pct
ABR,Cut,2,100
AMIDEX,Hike,3,100
BlackRock,Cut,10,20
BlackRock,No Change,28,56.00000000000001
BlackRock,Hike,12,24
BNY Mellon,No Change,10,100
Calvert Research and Management,Cut,10,55.55555555555556
Calvert Research and Management,No Change,1,5.555555555555555
Calvert Research and Management,Hike,7,38.88888888888889
CBOE Vest,Cut,3,20
CBOE Vest,No Change,5,33.33333333333333
CBOE Vest,Hike,7,46.666666666666664
Columbia,No Change,17,100
Dimensional Fund Advisors,Hike,1,100
Direxion Funds,No Change,3,23.076923076923077
Direxion Funds,Hike,10,76.92307692307693
DWS,Cut,4,57.14285714285714
DWS,No Change,1,14.285714285714285
DWS,Hike,2,28.57142857142857
Federated,Cut,1,14.285714285714285
Federated,No Change,6,85.71428571428571
Fidelity Investments,Cut,7,18.421052631578945
Fidelity Investments,No Change,30,78.94736842105263
Fidelity Investments,Hike,1,2.631578947368421
Great-West Funds,Cut,2,11.11111111111111
Great-West Funds,No Change,10,55.55555555555556
Great-West Funds,Hike,6,33.33333333333333
Green Century,No Change,2,100
Guggenheim Investments,No Change,3,15
Guggenheim Investments,Hike,17,85
GuideStone Funds,Cut,1,33.33333333333333
GuideStone Funds,Hike,2,66.66666666666666
Hennessy,Cut,1,50
Hennessy,Hike,1,50
Homestead,Hike,1,100
Index Funds,No Change,1,100
Invesco,Cut,6,66.66666666666666
Invesco,No Change,1,11.11111111111111
Invesco,Hike,2,22.22222222222222
Ivy Funds,Cut,4,17.391304347826086
Ivy Funds,No Change,17,73.91304347826086
Ivy Funds,Hike,2,8.695652173913043
Jackson National,Cut,19,35.84905660377358
Jackson National,No Change,24,45.28301886792453
Jackson National,Hike,10,18.867924528301888
JPMorgan,No Change,4,100
KKM,Cut,1,100
Legg Mason,No Change,2,100
Leland Funds,No Change,6,100
MainStay,Cut,2,33.33333333333333
MainStay,No Change,4,66.66666666666666
MassMutual,Cut,7,25
MassMutual,No Change,14,50
MassMutual,Hike,7,25
Mutual of America,Cut,1,20
Mutual of America,No Change,4,80
Nationwide,Cut,8,27.586206896551722
Nationwide,No Change,5,17.24137931034483
Nationwide,Hike,16,55.172413793103445
New Covenant,Cut,1,100
Northern Funds,No Change,8,88.88888888888889
Northern Funds,Hike,1,11.11111111111111
Pax World,No Change,2,100
PGIM Funds (Prudential),No Change,3,42.857142857142854
PGIM Funds (Prudential),Hike,4,57.14285714285714
Power Mutual Funds,Cut,9,64.28571428571429
Power Mutual Funds,Hike,5,35.714285714285715
Praxis Mutual Funds,Cut,4,50
Praxis Mutual Funds,No Change,1,12.5
Praxis Mutual Funds,Hike,3,37.5
Principal Funds,Cut,1,2.564102564102564
Principal Funds,No Change,22,56.41025641025641
Principal Funds,Hike,16,41.02564102564102
Probabilities Fund,Hike,3,100
ProFunds,Cut,18,14.754098360655737
ProFunds,No Change,22,18.0327868852459
ProFunds,Hike,82,67.21311475409836
Redwood,Cut,1,16.666666666666664
Redwood,No Change,5,83.33333333333334
Rydex Funds,Cut,1,0.9523809523809524
Rydex Funds,No Change,2,1.9047619047619049
Rydex Funds,Hike,102,97.14285714285714
Schwab Funds,Cut,3,17.647058823529413
Schwab Funds,No Change,11,64.70588235294117
Schwab Funds,Hike,3,17.647058823529413
SEI,Cut,1,16.666666666666664
SEI,No Change,4,66.66666666666666
SEI,Hike,1,16.666666666666664
Shelton Capital Management,Cut,2,25
Shelton Capital Management,Hike,6,75
State Street Global Advisors,Cut,3,23.076923076923077
State Street Global Advisors,No Change,4,30.76923076923077
State Street Global Advisors,Hike,6,46.15384615384615
T. Rowe Price,Cut,1,20
T. Rowe Price,No Change,4,80
TIAA Investments,Cut,7,19.444444444444446
TIAA Investments,No Change,25,69.44444444444444
TIAA Investments,Hike,4,11.11111111111111
Transamerica,No Change,1,50
Transamerica,Hike,1,50
VALIC,Cut,1,20
VALIC,No Change,2,40
VALIC,Hike,2,40
VanEck,No Change,5,100
Vanguard,Cut,11,7.586206896551724
Vanguard,No Change,134,92.41379310344827
Victory Capital,Cut,4,36.36363636363637
Victory Capital,No Change,6,54.54545454545454
Victory Capital,Hike,1,9.090909090909092
Virtus,Cut,3,100
Voya,Cut,13,31.70731707317073
Voya,No Change,23,56.09756097560976
Voya,Hike,5,12.195121951219512
Wells Fargo Funds,Cut,8,57.14285714285714
Wells Fargo Funds,No Change,5,35.714285714285715
Wells Fargo Funds,Hike,1,7.142857142857142
Wilshire Mutual Funds,No Change,1,50
Wilshire Mutual Funds,Hike,1,50
